epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
138,9853.22,0.57826,0.39954,1.04776,0.81088,0.72394,0.79065,0.48053,1.44365,1.02681,1.72214,0.0032185,0.0032185,0.0032185
139,9922.26,0.57969,0.39892,1.056,0.80822,0.72365,0.78889,0.4805,1.44582,1.02857,1.72441,0.003169,0.003169,0.003169
140,9991.7,0.56734,0.39254,1.04366,0.82578,0.71393,0.78856,0.47974,1.44613,1.0288,1.72437,0.0031195,0.0031195,0.0031195
141,10060.7,0.5687,0.39224,1.04633,0.83186,0.71084,0.78972,0.4805,1.44723,1.02563,1.72675,0.00307,0.00307,0.00307
142,10130.1,0.57456,0.39476,1.04993,0.83345,0.71119,0.78934,0.47997,1.44583,1.0264,1.72616,0.0030205,0.0030205,0.0030205
143,10199,0.56277,0.39025,1.04422,0.83228,0.71237,0.7897,0.47948,1.44542,1.02857,1.72614,0.002971,0.002971,0.002971
144,10267.8,0.55548,0.38082,1.03552,0.83095,0.71251,0.79002,0.47901,1.44708,1.03445,1.72838,0.0029215,0.0029215,0.0029215
145,10337,0.55866,0.38406,1.03765,0.81631,0.72515,0.79019,0.47802,1.44538,1.03449,1.72823,0.002872,0.002872,0.002872
146,10406,0.55198,0.38351,1.03402,0.81833,0.72357,0.79007,0.47874,1.44516,1.03744,1.72911,0.0028225,0.0028225,0.0028225
147,10475.3,0.55339,0.37925,1.03829,0.81597,0.72464,0.79053,0.47892,1.44374,1.03954,1.72857,0.002773,0.002773,0.002773
148,10544.3,0.55336,0.38219,1.03615,0.81441,0.72476,0.79045,0.48009,1.44429,1.03905,1.72987,0.0027235,0.0027235,0.0027235
149,10613.3,0.55417,0.38415,1.03922,0.81179,0.72928,0.79055,0.48102,1.44459,1.04051,1.73165,0.002674,0.002674,0.002674
